0,1
"Subscription to Bonds issued by
NABARD as notified by Central
Government.","Applicable w.e.f. 1.4.08 from A.Y.
2008-09."
"Payment made into account under
the Senior Rules, 2004.","This has been introduced by
Finance Act, 2008 and shall come
into effect from 1.4.2009."
"Payment made as five year time
deposit in an account under the
Post Office time Deposit Rules,
1981.","This has been introduced by
Finance Act, 2008 and shall come
into effect from 1.4.2009."
