0,1,2
13,"Hyderabad
Benches (2)","Districts of Bhopal, Dewas,
Dhar, Indore, Jhabua,
Khandwa, Khargon, Mandsaur,
Raisen, Ratlam, Sehore,
Shajapur, Ujjain and Vidisha of
Madhya Pradesh"
14,Indore Bench(1),"-Madhya Pradesh (excluding
the districts of Bhind, Bhopal,
Datia,Dewas, Dhar, Guna,
Gwalior, Indore, Jhabua,
Khandwa, Khargon, Mandsaur,
Morena,"
15,"Jabalpur
Bench (1)","Raisen,Ratlam,Sehore,
Shajapur, Shivpuri, Ujjain and
Vidisha)."
16.,"Jaipur
Bench(1)","-Rajasthan (excluding the
Districts of Banswara, Barmer,
Bhilwara, Bikaner, Chittorgarh,
Churu, Dungarpur, Jaisalmer,
Jalore, Jodhpur, Nagaur,
Pali, Rajsamand, Sirohi,
Sriganganagar and Udaipur).-
Districts of Banswara, Barmer,
Bhilwara, Bikaner, Chittorgarh,
Churu, Dungarpur, Jaisalmer,
Jalore, Jodhpur, Nagaur, Pali,
Rajsamand,"
17,"Jodhpur
Bench(1)","Sirohi, Sriganganagar and
Udaipur of Rajasthan. -
Mumbai City, Mumbai
Suburban and Thane Districts
of Maharashtra."
